Home,Away,Hasla_Home_Points,Hasla_Away_Points,Hasla_Home_Rank,Hasla_Away_Rank
Gonzaga,Loyola Marymount,91.78,62.5,1.0,201.0
Purdue,Iowa,79.96,77.7,5.0,17.0
UCLA,California,72.08,55.89,13.0,135.0
San Francisco,Saint Mary's,63.34,61.77,42.0,21.0
Wisconsin,Nebraska,77.47,68.76,23.0,144.0
USC,Stanford,75.39,63.15,25.0,113.0
UAB,W. Kentucky,78.6,72.55,32.0,124.0
Ohio State,Minnesota,69.37,68.15,36.0,85.0
Loyola-Chicago,S. Illinois,63.18,58.94,38.0,119.0
Murray State,Tenn. Tech,76.59,64.74,39.0,232.0
BYU,Santa Clara,75.62,74.3,43.0,95.0
Belmont,Austin Peay,78.27,64.87,47.0,276.0
North Texas,Southern Miss,68.34,51.91,50.0,331.0
South Dakota St.,North Dakota,94.72,66.44,72.0,346.0
Memphis,ECU,79.08,68.22,78.0,154.0
LA Tech,Rice,78.31,67.26,81.0,172.0
Towson,Delaware,73.59,64.92,84.0,142.0
Colorado,Washington,69.06,65.84,88.0,174.0
Liberty,North Alabama,73.52,56.42,96.0,297.0
Hofstra,Charleston,79.51,77.12,100.0,170.0
Wagner,St. Francis (PA),78.25,61.5,107.0,304.0
South Alabama,Troy,71.48,62.28,110.0,191.0
Mid Tennessee,Marshall,74.59,71.12,115.0,219.0
UC Irvine,CSU Bakersfield,62.95,52.32,116.0,238.0
Hawaii,CSU Northridge,72.75,55.21,118.0,327.0
Jacksonville St.,Kennesaw State,69.53,69.05,122.0,189.0
Oral Roberts,Omaha,83.58,69.36,125.0,341.0
Texas State,UT Arlington,64.83,61.69,134.0,255.0
Montana State,E. Washington,76.64,69.85,137.0,188.0
UC Riverside,Long Beach St.,73.23,64.37,139.0,228.0
UTEP,FAU,66.86,66.55,206.0,141.0
Utah Valley,Chicago State,66.86,56.19,143.0,338.0
Morehead State,SE Missouri St.,79.07,74.73,149.0,278.0
Coast. Carolina,Little Rock,79.0,63.71,152.0,323.0
North Dakota St.,South Dakota,70.0,68.78,153.0,235.0
UC Davis,CSU Fullerton,72.05,70.68,193.0,155.0
Appalachian St.,Arkansas State,68.38,64.27,157.0,171.0
Louisiana,Georgia State,74.96,65.72,162.0,256.0
Drexel,JMU,73.09,72.94,168.0,230.0
N. Colorado,Weber State,81.23,76.13,175.0,192.0
San Diego,Pepperdine,72.42,63.44,180.0,269.0
UNC Asheville,Gardner-Webb,66.58,65.06,229.0,198.0
Nicholls,McNeese,74.62,71.2,202.0,302.0
Detroit Mercy,UIC,75.88,66.68,208.0,290.0
Southern Utah,Portland State,73.18,66.99,211.0,330.0
Bryant,Merrimack,71.86,60.35,216.0,322.0
FGCU,E. Kentucky,77.4,72.27,222.0,243.0
Montana,Idaho,78.59,66.88,223.0,319.0
UNC Wilmington,Northeastern,68.0,63.58,224.0,234.0
Portland,Pacific,70.97,64.06,231.0,292.0
Elon,William & Mary,75.51,64.03,237.0,328.0
SE Louisiana,Texas A&M-CC,73.16,70.8,263.0,239.0
Long Island,Cent. Conn. St.,72.77,65.21,240.0,345.0
Bellarmine,Stetson,66.6,65.07,242.0,309.0
Youngstown St.,Green Bay,70.9,62.09,245.0,314.0
UL Monroe,GA Southern,70.06,69.84,300.0,246.0
SIUE,Tennessee St.,73.66,66.67,247.0,299.0
FIU,UTSA,68.03,63.65,248.0,335.0
Jacksonville,Lipscomb,70.35,64.13,253.0,296.0
New Orleans,Houston Baptist,73.84,68.29,257.0,340.0
Denver,UMKC,67.95,63.95,258.0,266.0
Mt. St. Mary's,Fair. Dickinson,69.56,62.77,262.0,349.0
UC San Diego,Cal Poly,67.01,60.33,273.0,311.0
UT Martin,E. Illinois,74.45,54.78,280.0,356.0
North Florida,Cent. Arkansas,78.53,71.39,288.0,317.0
N. Illinois,Ball State,70.9,68.89,308.0,291.0
Robert Morris,Milwaukee,70.41,69.8,318.0,294.0
Sacramento St.,Idaho State,68.89,56.85,316.0,355.0
Sacred Heart,St. Francis (BKN),73.97,70.55,332.0,329.0
Northwestern St.,Incarnate Word,77.72,69.71,337.0,351.0
