event id,participant full name,Away Team,Home Team,Home Spread Bet354,total bet365,datetime,Home Spread Bovada,total bovada
4582646,TCU Horned Frogs,LSU Tigers,TCU Horned Frogs,3.5,125.5,2022-01-29T10:01:21-07:00,3.5,125.5
4582651,Tulane Green Wave,Wichita State Shockers,Tulane Green Wave,2.5,140.5,2022-01-29T08:56:29-07:00,2.5,140.5
4582664,Davidson Wildcats,La Salle Explorers,Davidson Wildcats,-15.0,137.5,2022-01-28T17:06:44-07:00,-15.0,137.5
4582675,Louisville Cardinals,Duke Blue Devils,Louisville Cardinals,7.0,142.0,2022-01-29T08:20:50-07:00,7.0,142.0
4582680,Georgia Tech Yellow Jackets,Miami (FL) Hurricanes,Georgia Tech Yellow Jackets,3.0,143.0,2022-01-29T06:49:16-07:00,3.0,143.0
4582689,DePaul Blue Demons,Connecticut Huskies,DePaul Blue Demons,9.5,138.5,2022-01-29T16:09:27-07:00,9.5,138.5
4582696,Citadel Bulldogs,Chattanooga Mocs,Citadel Bulldogs,9.5,147.5,2022-01-29T08:56:29-07:00,9.5,147.5
4582699,Texas State Bobcats,Texas-Arlington Mavericks,Texas State Bobcats,-7.0,128.0,2022-01-29T14:57:27-07:00,-7.0,128.0
4582707,Houston Baptist Huskies,Nicholls State Colonels,Houston Baptist Huskies,9.0,144.5,2022-01-29T06:54:02-07:00,9.0,144.5
4582713,Montana State Bobcats,Idaho Vandals,Montana State Bobcats,-15.5,149.0,2022-01-29T15:27:00-07:00,-15.5,149.0
4582721,Eastern Michigan Eagles,Miami (OH) RedHawks,Eastern Michigan Eagles,2.0,141.0,2022-01-29T12:53:00-07:00,2.0,141.0
4582726,UC Riverside Highlanders,Cal State Fullerton Titans,UC Riverside Highlanders,1.0,120.5,2022-01-29T15:45:12-07:00,1.0,120.5
4582729,Tennessee Tech Golden Eagles,Austin Peay Governors,Tennessee Tech Golden Eagles,-6.5,142.0,2022-01-29T10:26:04-07:00,-6.5,142.0
4582736,Oakland Golden Grizzlies,Illinois-Chicago Flames,Oakland Golden Grizzlies,-10.0,147.0,2022-01-29T09:27:16-07:00,-10.0,147.0
4582768,Western Illinois Leathernecks,St. Thomas (MN) Tommies,Western Illinois Leathernecks,-8.0,157.0,2022-01-29T12:03:19-07:00,-8.0,157.0
4582773,Saint Mary's Gaels,Pepperdine Waves,Saint Mary's Gaels,-20.5,131.0,2022-01-29T05:51:28-07:00,-20.5,131.0
4582780,Gonzaga Bulldogs,Portland Pilots,Gonzaga Bulldogs,-32.0,157.0,2022-01-28T18:59:00-07:00,-32.0,157.0
4582792,Southern Miss Golden Eagles,Rice Owls,Southern Miss Golden Eagles,5.5,140.5,2022-01-29T12:03:19-07:00,5.5,140.5
4582810,Iowa State Cyclones,Missouri Tigers,Iowa State Cyclones,-11.0,128.5,2022-01-29T11:57:13-07:00,-11.0,128.5
4582813,Nevada Wolf Pack,Utah State Aggies,Nevada Wolf Pack,-1.0,150.0,2022-01-29T14:35:16-07:00,-1.0,150.0
4582823,UTSA Roadrunners,Florida Atlantic Owls,UTSA Roadrunners,7.0,136.0,2022-01-29T12:00:08-07:00,7.0,136.0
4582826,Robert Morris Colonials,Green Bay Phoenix,Robert Morris Colonials,-5.0,134.0,2022-01-29T07:33:05-07:00,-5.0,134.0
4582830,Marshall Thundering Herd,UAB Blazers,Marshall Thundering Herd,10.5,152.0,2022-01-29T15:58:07-07:00,10.5,152.0
4582879,Pacific Tigers,BYU Cougars,Pacific Tigers,12.0,136.0,2022-01-29T08:35:18-07:00,12.0,136.0
4582897,New Mexico State Aggies,Grand Canyon Antelopes,New Mexico State Aggies,-5.5,129.5,2022-01-29T11:37:54-07:00,-5.5,129.5
4582921,Columbia Lions,Dartmouth Big Green,Columbia Lions,5.0,141.0,2022-01-29T09:23:01-07:00,5.0,141.0
4582966,Chicago State Cougars,Dixie State Trailblazers,Chicago State Cougars,2.5,147.0,2022-01-29T12:53:00-07:00,2.5,147.0
4582976,Louisiana-Monroe Warhawks,Georgia State Panthers,Louisiana-Monroe Warhawks,4.5,142.0,2022-01-29T06:53:26-07:00,4.5,142.0
4582980,Troy Trojans,South Alabama Jaguars,Troy Trojans,2.0,134.5,2022-01-28T22:26:43-07:00,2.0,134.5
4583000,Virginia Military Keydets,East Tennessee State Buccaneers,Virginia Military Keydets,-3.5,151.5,2022-01-29T06:09:28-07:00,-3.5,151.5
4583019,Butler Bulldogs,Georgetown Hoyas,Butler Bulldogs,-6.0,142.5,2022-01-29T09:20:58-07:00,-6.0,142.5
4583028,Richmond Spiders,Virginia Commonwealth Rams,Richmond Spiders,-2.0,132.5,2022-01-29T13:35:08-07:00,-2.0,132.5
4583060,Michigan State Spartans,Michigan Wolverines,Michigan State Spartans,-4.0,138.0,2022-01-29T09:06:08-07:00,-4.0,138.0
4583070,Campbell Fighting Camels,High Point Panthers,Campbell Fighting Camels,-7.5,123.0,2022-01-28T20:46:48-07:00,-7.5,123.0
4583083,UTEP Miners,Florida International Golden Panthers,UTEP Miners,-4.5,126.5,2022-01-29T09:45:30-07:00,-4.5,126.5
4583099,Appalachian State Mountaineers,Arkansas-Little Rock Trojans,Appalachian State Mountaineers,-10.5,131.5,2022-01-28T19:56:58-07:00,-10.5,131.5
4583111,Longwood Lancers,Winthrop Eagles,Longwood Lancers,-2.5,142.5,2022-01-29T12:45:34-07:00,-2.5,142.5
4583139,Prairie View A&M Panthers,Texas Southern Tigers,Prairie View A&M Panthers,2.5,139.5,2022-01-29T10:29:13-07:00,2.5,139.5
4583151,Western Carolina Catamounts,Samford Bulldogs,Western Carolina Catamounts,3.0,151.0,2022-01-29T10:48:20-07:00,3.0,151.0
4583156,Towson Tigers,Drexel Dragons,Towson Tigers,-6.5,139.0,2022-01-29T00:01:56-07:00,-6.5,139.0
4583164,Duquesne Dukes,Saint Louis Billikens,Duquesne Dukes,6.0,140.5,2022-01-29T05:34:22-07:00,6.0,140.5
4583179,Vermont Catamounts,Maine Black Bears,Vermont Catamounts,-25.0,133.0,2022-01-29T11:44:19-07:00,-25.0,133.0
4583195,Arkansas Razorbacks,West Virginia Mountaineers,Arkansas Razorbacks,-8.0,143.5,2022-01-29T09:23:01-07:00,-8.0,143.5
4583209,South Dakota State Jackrabbits,North Dakota State Bison,South Dakota State Jackrabbits,-9.0,154.0,2022-01-29T12:50:50-07:00,-9.0,154.0
4583227,Auburn Tigers,Oklahoma Sooners,Auburn Tigers,-10.0,136.5,2022-01-29T09:24:58-07:00,-10.0,136.5
4583233,St. Bonaventure Bonnies,Saint Joseph's (PA) Hawks,St. Bonaventure Bonnies,-11.0,138.5,2022-01-28T17:27:00-07:00,-11.0,138.5
4583243,Binghamton Bearcats,UMBC Retrievers,Binghamton Bearcats,1.0,122.5,2022-01-29T10:24:42-07:00,1.0,122.5
4583271,Ole Miss Rebels,Kansas State Wildcats,Ole Miss Rebels,1.0,127.0,2022-01-29T13:56:30-07:00,1.0,127.0
4583273,Denver Pioneers,Oral Roberts Golden Eagles,Denver Pioneers,7.0,153.5,2022-01-29T02:35:18-07:00,7.0,153.5
4583289,Ball State Cardinals,Western Michigan Broncos,Ball State Cardinals,-9.0,145.5,2022-01-29T13:26:35-07:00,-9.0,145.5
4583296,Eastern Illinois Panthers,Tennessee State Tigers,Eastern Illinois Panthers,-7.5,126.5,2022-01-29T09:48:45-07:00,-7.5,126.5
4583323,Stetson Hatters,Eastern Kentucky Colonels,Stetson Hatters,2.5,140.0,2022-01-29T11:02:11-07:00,2.5,140.0
4583329,Florida Gators,Oklahoma State Cowboys,Florida Gators,-3.5,131.5,2022-01-29T13:55:29-07:00,-3.5,131.5
4583345,Northern Arizona Lumberjacks,Portland State Vikings,Northern Arizona Lumberjacks,-2.0,135.5,2022-01-29T05:37:38-07:00,-2.0,135.5
4583365,Alabama Crimson Tide,Baylor Bears,Alabama Crimson Tide,3.0,151.0,2022-01-29T14:00:45-07:00,3.0,151.0
4583368,Princeton Tigers,Yale Bulldogs,Princeton Tigers,-3.5,149.5,2022-01-29T15:17:30-07:00,-3.5,149.5
4583416,Kansas Jayhawks,Kentucky Wildcats,Kansas Jayhawks,-5.0,152.0,2022-01-29T16:04:10-07:00,-5.0,152.0
4583421,Texas Tech Red Raiders,Mississippi State Bulldogs,Texas Tech Red Raiders,-7.5,133.5,2022-01-29T15:18:40-07:00,-7.5,133.5
4583433,Vanderbilt Commodores,Georgia Bulldogs,Vanderbilt Commodores,-9.0,139.5,2022-01-29T05:42:12-07:00,-9.0,139.5
4583438,North Florida Ospreys,Lipscomb Bisons,North Florida Ospreys,-8.5,149.5,2022-01-29T09:42:15-07:00,-8.5,149.5
4583450,UC Davis Aggies,Long Beach State Beach,UC Davis Aggies,-3.0,145.5,2022-01-29T07:45:47-07:00,-3.0,145.5
4583458,Jackson State Tigers,Grambling State Tigers,Jackson State Tigers,-5.0,125.5,2022-01-29T08:10:09-07:00,-5.0,125.5
4583463,Wofford Terriers,UNC Greensboro Spartans,Wofford Terriers,-7.0,125.5,2022-01-29T09:20:58-07:00,-7.0,125.5
4583470,Notre Dame Fighting Irish,Virginia Cavaliers,Notre Dame Fighting Irish,-3.0,122.5,2022-01-29T15:57:46-07:00,-3.0,122.5
4583915,Missouri State Bears,Evansville Purple Aces,Missouri State Bears,-16.5,128.0,2022-01-29T10:31:14-07:00,-16.5,128.0
4583917,Texas Rio Grande Valley Vaqueros,Tarleton State Texans,Texas Rio Grande Valley Vaqueros,5.5,115.5,2022-01-29T10:15:13-07:00,5.5,115.5
4583924,Florida Gulf Coast Eagles,Bellarmine Knights,Florida Gulf Coast Eagles,-2.0,141.5,2022-01-29T15:32:24-07:00,-2.0,141.5
4583928,Nebraska-Omaha Mavericks,Kansas City Roos,Nebraska-Omaha Mavericks,6.0,147.5,2022-01-29T07:27:32-07:00,6.0,147.5
4583930,Texas Longhorns,Tennessee Volunteers,Texas Longhorns,-4.0,126.0,2022-01-29T13:29:39-07:00,-4.0,126.0
4583933,Texas A&M Aggies,South Carolina Gamecocks,Texas A&M Aggies,-7.0,135.0,2022-01-29T11:12:43-07:00,-7.0,135.0
4583935,Northern Colorado Bears,Idaho State Bengals,Northern Colorado Bears,8.5,142.5,2022-01-29T10:26:04-07:00,8.5,142.5
4583939,Montana Grizzlies,Eastern Washington Eagles,Montana Grizzlies,-6.5,143.5,2022-01-29T09:42:09-07:00,-6.5,143.5
4583944,UC Irvine Anteaters,Cal Poly Mustangs,UC Irvine Anteaters,-8.0,119.5,2022-01-29T11:44:33-07:00,-8.0,119.5
4583946,California Baptist Lancers,Stephen F. Austin Lumberjacks,California Baptist Lancers,11.5,142.5,2022-01-29T09:51:57-07:00,11.5,142.5
4583950,UC San Diego Tritons,Cal State Bakersfield Roadrunners,UC San Diego Tritons,-1.5,121.5,2022-01-29T10:15:13-07:00,-1.5,121.5
4583952,Sacramento State Hornets,Weber State Wildcats,Sacramento State Hornets,11.0,143.5,2022-01-29T16:04:10-07:00,11.0,143.5
4586444,Washington Huskies,Utah Utes,Washington Huskies,-1.0,137.0,2022-01-29T13:35:11-07:00,-1.0,137.0
4586445,SMU Mustangs,Temple Owls,SMU Mustangs,-10.0,137.0,2022-01-28T22:20:22-07:00,-10.0,137.0
4586446,USC Trojans,California Golden Bears,USC Trojans,-12.5,128.0,2022-01-29T07:06:24-07:00,-12.5,128.0
4586448,Tulsa Golden Hurricane,South Florida Bulls,Tulsa Golden Hurricane,-5.5,126.0,2022-01-29T05:43:53-07:00,-5.5,126.0
4586450,Oregon Ducks,Oregon State Beavers,Oregon Ducks,-12.0,144.0,2022-01-29T10:08:07-07:00,-12.0,144.0
4586465,Arizona Wildcats,Arizona State Sun Devils,Arizona Wildcats,-21.5,147.5,2022-01-29T10:24:42-07:00,-21.5,147.5
4611384,Alabama A&M Bulldogs,Florida A&M Rattlers,Alabama A&M Bulldogs,2.0,123.5,2022-01-29T11:35:39-07:00,2.0,123.5
4611385,Coastal Carolina Chanticleers,Arkansas State Red Wolves,Coastal Carolina Chanticleers,-3.5,139.0,2022-01-29T10:33:20-07:00,-3.5,139.0
4611389,Charleston Southern Buccaneers,Hampton Pirates,Charleston Southern Buccaneers,-2.5,137.0,2022-01-29T09:10:15-07:00,-2.5,137.0
4611390,Bowling Green Falcons,Kent State Golden Flashes,Bowling Green Falcons,-2.5,147.0,2022-01-29T06:25:18-07:00,-2.5,147.0
4611392,Presbyterian Blue Hose,UNC Asheville Bulldogs,Presbyterian Blue Hose,-2.0,128.0,2022-01-29T13:58:42-07:00,-2.0,128.0
4611395,Louisiana-Lafayette Ragin' Cajuns,Georgia Southern Eagles,Louisiana-Lafayette Ragin' Cajuns,-6.5,135.0,2022-01-28T22:40:12-07:00,-6.5,135.0
4611434,Northern Iowa Panthers,Illinois State Redbirds,Northern Iowa Panthers,-9.5,148.5,2022-01-28T17:11:00-07:00,-9.5,148.5
4611457,Creighton Bluejays,Xavier Musketeers,Creighton Bluejays,1.5,138.5,2022-01-29T10:18:21-07:00,1.5,138.5
4611461,Youngstown State Penguins,Milwaukee Panthers,Youngstown State Penguins,-6.0,138.5,2022-01-29T05:32:12-07:00,-6.0,138.5
4611470,Mercer Bears,Furman Paladins,Mercer Bears,5.5,137.0,2022-01-29T08:05:54-07:00,5.5,137.0
4611471,Maryland Terrapins,Indiana Hoosiers,Maryland Terrapins,2.0,132.5,2022-01-29T12:27:34-07:00,2.0,132.5
4611479,Belmont Bruins,Tennessee-Martin Skyhawks,Belmont Bruins,-23.0,151.0,2022-01-29T10:29:00-07:00,-23.0,151.0
4611482,Western Kentucky Hilltoppers,Middle Tennessee Blue Raiders,Western Kentucky Hilltoppers,5.5,132.5,2022-01-29T13:13:12-07:00,5.5,132.5
4611497,Louisiana Tech Bulldogs,North Texas Mean Green,Louisiana Tech Bulldogs,8.0,129.5,2022-01-29T13:38:39-07:00,8.0,129.5
4611508,Lamar Cardinals,Abilene Christian Wildcats,Lamar Cardinals,12.0,136.0,2022-01-29T09:09:30-07:00,12.0,136.0
4611527,Seattle Redhawks,Sam Houston State Bearkats,Seattle Redhawks,-4.5,137.5,2022-01-29T12:03:08-07:00,-4.5,137.5
4611536,Northwestern Wildcats,Illinois Fighting Illini,Northwestern Wildcats,5.5,141.5,2022-01-29T13:30:55-07:00,5.5,141.5
4611559,Mississippi Valley State Delta Devils,Arkansas-Pine Bluff Golden Lions,Mississippi Valley State Delta Devils,2.0,144.5,2022-01-29T14:42:47-07:00,2.0,144.5
4611579,Old Dominion Monarchs,Charlotte 49ers,Old Dominion Monarchs,-3.5,131.5,2022-01-29T15:32:24-07:00,-3.5,131.5
4617847,Alabama State Hornets,Bethune-Cookman Wildcats,Alabama State Hornets,-10.5,127.5,2022-01-29T09:22:59-07:00,-10.5,127.5
4639291,UCLA Bruins,Stanford Cardinal,UCLA Bruins,-11.5,134.5,2022-01-29T11:02:11-07:00,-11.5,134.5
4641815,Army Black Knights,Lafayette Leopards,Army Black Knights,-5.5,119.5,2022-01-29T10:26:04-07:00,-5.5,119.5
4641906,UCF Knights,Houston Cougars,UCF Knights,6.0,136.5,2022-01-29T14:17:26-07:00,6.0,136.5
