date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/09/2021,Georgia Southern,82,Ball St.,71,2.5,0.76,-0.17,-0.17,-0.17,-0.17,6.91,0,1.71,0.01,3.05,-5.17,1.2,0,-0.1,5.48,,,,,,,,,,-0.2
11/09/2021,Georgia Tech,69,Miami-Ohio,72,10,13.37,14.3,14.3,14.3,14.3,7.1,0,13.6,15,3.04,18.47,12,0,15.7,8.63,,,,,,,,,,12.7
11/09/2021,Grand Canyon,74,Grambling St.,53,15,14.8,15.78,15.78,15.78,15.78,4.42,-15,13.65,22,4.78,22.81,11.4,0,11.7,14.95,,,,,,,,,,13.5
11/09/2021,Houston,83,Hofstra,75,19,19.34,20.6,20.6,20.6,20.6,9.09,0,15.19,26,5.08,27.38,13.4,0,19.4,17.34,,,,,,,,,,21.9
11/09/2021,Illinois,71,Jackson St.,47,27.5,27.03,28.05,28.05,28.05,28.05,18.6,-29.5,25.71,32,5.05,37.28,19.9,0,29,22.65,,,,,,,,,,27
11/09/2021,Illinois St.,68,NC Wilmington,63,4.5,5.36,3.88,3.88,3.88,3.88,10.68,0,4.6,6,2.2,4.34,4.5,0,5.5,8.88,,,,,,,,,,4.3
11/09/2021,Incarnate Word,57,Texas St.,75,-9.5,-10.22,-10.15,-10.15,-10.15,-10.15,-12.67,13,-13.71,-11,2.58,-9.26,-8.9,0,-14,-4.5,,,,,,,,,,-8
11/09/2021,Indiana,68,Eastern Michigan,62,24.5,22.28,23.41,23.41,23.41,23.41,24.04,0,17.67,20,4.59,29.74,16.7,0,21.4,14.72,,,,,,,,,,29.5
11/09/2021,Iona,65,Appalachian St.,53,6.5,4.76,4.04,4.04,4.04,4.04,-4.53,0,4.41,4,4.45,7.59,4.5,0,2.2,15.02,,,,,,,,,,7.8
11/09/2021,Iowa,106,Longwood,73,20,23.42,23.25,23.25,23.25,23.25,17.61,-20,19.29,27,4.33,32.1,22.2,0,29.6,18.4,,,,,,,,,,21.9
11/09/2021,Iowa St.,84,Kennesaw St.,73,15,17.67,20.3,20.3,20.3,20.3,14.36,-15,19.92,13,3.57,16.29,11.9,0,23,18.01,,,,,,,,,,14.4
11/09/2021,LSU,101,Louisiana-Monroe,39,20,20.85,22.65,22.65,22.65,22.65,7.14,0,20.84,24,5.52,29.4,17.3,0,24.4,15.77,,,,,,,,,,20.8
11/09/2021,La Salle,81,Sacred Heart,86,7.5,7.77,8.49,8.49,8.49,8.49,3.47,-7,6.89,10,2.23,11.84,8.1,0,6,4.83,,,,,,,,,,8.1
11/09/2021,Louisville,72,Southern,60,26.5,23.82,25.79,25.79,25.79,25.79,22.04,-26,24.65,21,2.85,26.62,19.3,0,24.4,18.54,,,,,,,,,,26.1
11/09/2021,Loyola Marymount,64,Chattanooga,74,7.5,6.16,4.73,4.73,4.73,4.73,11.73,0,1.11,5,3.15,10.06,6.7,0,2.9,7.37,,,,,,,,,,10.1
11/09/2021,Loyola-Chicago,103,Coppin St.,45,31.5,24.85,22.86,22.86,22.86,22.86,32.1,-33,26.9,30,4.11,30.03,18.8,0,23.9,20.15,,,,,,,,,,24.9
11/09/2021,Marquette,88,SIU Edwardsville,77,21,21.25,21.81,21.81,21.81,21.81,9.48,0,23.07,25,4.9,26.26,16.4,0,25.3,16.53,,,,,,,,,,25.7
11/09/2021,Maryland,83,Quinnipiac,69,23,22.48,24.8,24.8,24.8,24.8,13.51,0,20.53,27,4.48,26.2,16.9,0,23.9,16.55,,,,,,,,,,26
11/09/2021,Massachusetts,77,MD Baltimore Co,60,10.5,8.07,8.73,8.73,8.73,8.73,5.18,-12,6.43,8,2.11,8.8,7.1,0,8,5.17,,,,,,,,,,13.2
11/09/2021,Memphis,89,Tennessee Tech,65,29,25.94,26.09,26.09,26.09,26.09,24.46,0,26.87,27,3.09,31.22,23.4,0,26.5,18.43,,,,,,,,,,29.1
11/09/2021,Miami-Florida,77,Canisius,67,15,14.39,17.37,17.37,17.37,17.37,12.92,0,11.1,13,2.82,14.69,9.5,0,12.3,12.76,,,,,,,,,,16.9
11/09/2021,Michigan St.,74,Kansas,87,-4.5,-4.2,-5.45,-5.45,-5.45,-5.45,-3.69,5.5,-2.73,-3,1.19,-5.41,-2.6,1,-3,-3.85,,,,,,,,,,-4.3
11/09/2021,Minnesota,71,Mo Kansas City,56,7,13.92,17.41,17.41,17.41,17.41,8.72,0,9.79,11,4.03,18.94,13.9,0,15.5,7.03,,,,,,,,,,12.5
11/09/2021,Mississippi,82,New Orleans,61,23.5,19.66,20.59,20.59,20.59,20.59,13.37,-23,20.65,20,3.07,25.04,17.3,0,19.7,15.34,,,,,,,,,,22.2
11/09/2021,Missouri,78,Central Michigan,68,17,17.23,17.5,17.5,17.5,17.5,11.22,0,17.66,20,4.19,27.56,17.3,0,17.4,11.57,,,,,,,,,,14.1
11/09/2021,NC Charlotte,68,Monmouth,66,5.5,3.77,5.64,5.64,5.64,5.64,-2.45,0,2.12,4,2.66,3.43,4.8,0,3.3,0.48,,,,,,,,,,7
11/09/2021,NC Greensboro,57,North Carolina A&T,53,7,14.81,12.78,12.78,12.78,12.78,16.87,-9,18.52,16,3.04,20.83,12.2,0,17.2,10.73,,,,,,,,,,14.2
11/09/2021,Nebraska,74,Western Illinois,75,17,16.98,18.91,18.91,18.91,18.91,14.5,0,15.79,15,2.74,21.42,13.3,0,17.7,12.35,,,,,,,,,,18
11/09/2021,Nevada,91,Eastern Washington,76,20,11.64,12.79,12.79,12.79,12.79,20.85,0,12.12,5,5.91,4.16,5.9,0,3.5,18.1,,,,,,,,,,18.9
11/09/2021,New Mexico St.,62,UC Irvine,51,6,3.88,6.4,6.4,6.4,6.4,2.26,0,4.33,5,2.4,-0.18,0.1,0,2.2,3.18,,,,,,,,,,4.1
11/09/2021,North Carolina,83,Loyola-Maryland,67,25,22.27,24.4,24.4,24.4,24.4,28.02,-24,20.91,22,3.75,20.58,15.1,0,20.6,16.59,,,,,,,,,,25.8
11/09/2021,North Carolina St.,88,Bucknell,70,24.5,18.94,18.76,18.76,18.76,18.76,21.93,-25,15.01,19,2.65,20.8,13,0,19.6,22.05,,,,,,,,,,20.9
11/09/2021,North Dakota,60,Wisconsin-Milwaukee,75,-7,-0.77,-1.61,-1.61,-1.61,-1.61,1.63,0,-2.84,1,3.07,0.6,2.7,0,3.9,-7.91,,,,,,,,,,-1.9
11/09/2021,Northern Iowa,58,Nicholls St.,62,14,9.66,11.98,11.98,11.98,11.98,16.92,-12,8.85,5,3.52,6.38,6.6,0,7,6.38,,,,,,,,,,10.9
11/09/2021,Northwestern,80,Eastern Illinois,56,23.5,21.03,22.96,22.96,22.96,22.96,27.82,0,13.73,21,4.9,25.25,14.2,0,14.1,18.07,,,,,,,,,,26.4
11/09/2021,Ohio,92,Belmont,80,-3.5,2.15,2.77,2.77,2.77,2.77,-2.42,0,-4.62,6,3.1,5.25,3.9,0,0.1,1.99,,,,,,,,,,4.5
11/09/2021,Ohio St.,67,Akron,66,16.5,15.62,17.1,17.1,17.1,17.1,14.27,0,13.65,14,2.42,19.3,12.2,0,15.5,11.78,,,,,,,,,,18.3
11/09/2021,Oklahoma,77,Northwestern St.,59,28,24.73,24.63,24.63,24.63,24.63,25.41,-26,25.5,23,3.42,29.89,20.2,0,24,18.9,,,,,,,,,,31.3
11/09/2021,Oklahoma St.,88,Texas Arlington,45,18,18.2,18.78,18.78,18.78,18.78,20.44,0,13.93,20,3.19,23.99,14.6,0,15.1,13.88,,,,,,,,,,21.3
11/09/2021,Oregon,83,Texas Southern,66,20.5,19.97,21.17,21.17,21.17,21.17,12.31,-21,22.45,19,3.79,25.62,15.3,0,24.5,16.64,,,,,,,,,,19.1
11/09/2021,Oregon St.,73,Portland St.,64,14,16.65,18.4,18.4,18.4,18.4,18.43,0,15.59,22,3.89,21.14,14.7,0,14.7,9.09,,,,,,,,,,10.6
11/09/2021,Pittsburgh,63,Citadel,78,10.5,12.63,13.66,13.66,13.66,13.66,1.92,0,12.83,12,3.67,16.57,11.5,0,15.6,12.15,,,,,,,,,,14.4
11/09/2021,Providence,80,Fairfield,73,15.5,18.48,19.17,19.17,19.17,19.17,12.74,0,18.81,19,2.84,23.17,14.4,0,22,16.98,,,,,,,,,,18
11/09/2021,Purdue,96,Bellarmine,67,23,21.12,23.06,23.06,23.06,23.06,23.72,-20.5,21.3,18,3.37,20.16,13.6,0,19.3,18.79,,,,,,,,,,26.3
11/09/2021,Rhode Island,71,Boston,62,9,9.34,8.12,8.12,8.12,8.12,3.74,-11,12.23,11,2.63,11.23,9.9,0,14,7.94,,,,,,,,,,9.6
11/09/2021,Rice,82,Pepperdine,63,8,-1.62,-0.56,-0.56,-0.56,-0.56,0.77,0,-3.38,-7,3.21,-6.55,-2.4,0,-4.2,2,,,,,,,,,,3.5
11/09/2021,Richmond,70,NC Central,60,27,22.34,22.79,22.79,22.79,22.79,23.98,-26,22.53,21,2.78,27.86,16.2,0,20.5,20.41,,,,,,,,,,24.4
11/09/2021,SMU,86,McNeese St.,62,28.5,23.86,24.77,24.77,24.77,24.77,27.67,-25,22.62,19,3.96,32.06,20.9,0,17.2,21.82,,,,,,,,,,26
11/09/2021,SW Missouri St.,94,SE Missouri St.,99,16,13.87,12.91,12.91,12.91,12.91,11,0,13.35,18,3.56,18.28,11.8,0,16.9,6.62,,,,,,,,,,18.8
11/09/2021,Saint Louis,96,Central Arkansas,61,21.5,22.38,23.72,23.72,23.72,23.72,18.34,-21,21.18,23,3.08,29.55,17.7,0,21.1,22.48,,,,,,,,,,20.3
11/09/2021,San Diego St.,66,Cal Riverside,53,13.5,13.86,14.23,14.23,14.23,14.23,10.37,0,16.43,14,2.3,13.14,11.5,0,18.7,10.84,,,,,,,,,,14.4
11/09/2021,San Francisco,98,LIU Brooklyn,64,20.5,15.07,15.53,15.53,15.53,15.53,13.04,-21,15,17,2.63,16.95,10.1,0,16.2,10.88,,,,,,,,,,19.6
11/09/2021,Santa Clara,84,Cal St. Fullerton,77,7.5,9.01,10.4,10.4,10.4,10.4,3.6,0,7.7,9,1.92,9.32,9.3,0,9.8,8.22,,,,,,,,,,9.6
11/09/2021,South Carolina,78,South Carolina Upstat,60,23,20.63,23.28,23.28,23.28,23.28,22.95,-23,18.79,15,3.01,19.87,15.6,0,22,18.94,,,,,,,,,,21.3
11/09/2021,South Dakota St.,81,Bradley,65,9,8.98,9.06,9.06,9.06,9.06,14.93,0,6.06,12,3.08,6.11,6.9,0,3.5,11.17,,,,,,,,,,10.9
11/09/2021,South Florida,75,Bethune Cookman,54,20.5,16.61,19.19,19.19,19.19,19.19,19.37,-19,15.38,10,2.99,17,16.6,0,12.6,15.04,,,,,,,,,,16.6
11/09/2021,St. Bonaventure,75,Siena,47,19,17.5,20.46,20.46,20.46,20.46,20.19,0,12.07,17,4.63,20.61,10.5,0,9.9,14.27,,,,,,,,,,23.6
11/09/2021,St. John's,119,Miss Valley St.,61,43.5,38.88,38.64,38.64,38.64,38.64,29.13,-43,36.49,44,5.99,49.72,28.2,0,41.2,38.83,,,,,,,,,,44.4
11/09/2021,St. Joseph's PA,69,Md. Eastern Shore,67,24,21.58,23.52,23.52,23.52,23.52,29.84,-22,17.52,16,3.98,23.93,20.8,0,16.5,18.29,,,,,,,,,,22
11/09/2021,St. Mary's,87,Prairie View,68,18,17.41,19.5,19.5,19.5,19.5,18.31,-18,17.21,17,2.69,19.84,10.8,0,16.4,14.15,,,,,,,,,,17.2
11/09/2021,Syracuse,97,Lafayette,63,25.5,19.36,20.76,20.76,20.76,20.76,12.31,-22,18.45,25,3.5,22.16,13.3,0,19.2,19.02,,,,,,,,,,19.8
11/09/2021,Tennessee,90,Tennessee-Martin,62,35,30.91,32.3,32.3,32.3,32.3,34.88,0,27.4,31,4.43,39.12,24.3,0,29.1,23.05,,,,,,,,,,32.9
11/09/2021,Texas,92,Houston Baptist,48,37.5,30.7,33.86,33.86,33.86,33.86,20.19,-34.5,31.2,31,5.26,35.27,25.9,0,28.5,23.23,,,,,,,,,,37.7
11/09/2021,Texas Tech,89,North Florida,74,21.5,24.11,23.69,23.69,23.69,23.69,25.41,-23,22.42,28,3.56,30.96,20.4,0,22.5,17.43,,,,,,,,,,27.5
11/09/2021,Tulane,70,SE Louisiana,67,15,14.4,14.09,14.09,14.09,14.09,9.23,-16,11.26,17,3.33,21.57,13.2,0,17.4,10.72,,,,,,,,,,16.1
11/09/2021,UAB,102,NC Asheville,77,16.5,13.95,13.48,13.48,13.48,13.48,10.63,-17,12.69,16,2.75,15.67,11.8,0,12.1,13.35,,,,,,,,,,21.3
11/09/2021,UCLA,95,CS Bakersfield,58,23,20.25,20.73,20.73,20.73,20.73,19.08,0,21.47,22,2.35,19.58,18.2,0,16.6,17.51,,,,,,,,,,25.6
