Home,Away,Torv_Home_Points,Torv_Away_Points,Torv_Line
Providence,Marquette,72,68,4.0
Purdue,Ohio St.,81,70,11.2
Drake,Loyola Chicago,64,66,1.8
East Carolina,Cincinnati,66,69,3.7
Brown,Cornell,78,73,5.7
Massachusetts,George Mason,73,77,3.7
Washington St.,Colorado,68,60,8.5
Wisconsin,Minnesota,73,63,9.8
George Washington,Fordham,65,67,1.3
Bradley,Indiana St.,75,67,7.6
Wright St.,Fort Wayne,75,73,2.1
McNeese St.,New Orleans,74,72,1.8
Manhattan,Marist,70,72,1.8
Northern Kentucky,Cleveland St.,64,66,2.1
Siena,Quinnipiac,69,67,2.5
Boston College,Pittsburgh,63,59,3.8
Bryant,LIU Brooklyn,82,74,7.4
Iona,Saint Peter's,71,61,9.9
Rider,Canisius,70,67,3.2
Bucknell,Loyola MD,69,71,2.0
Southern Illinois,Valparaiso,63,56,6.3
Monmouth,Niagara,68,59,8.5
St. Francis NY,Wagner,64,73,8.8
Campbell,Presbyterian,63,55,8.1
Fairleigh Dickinson,Central Connecticut,71,66,4.3
Morgan St.,Delaware St.,78,64,14.1
