Home,Away,Hasla_Home_Points,Hasla_Away_Points,Hasla_Home_Rank,Hasla_Away_Rank
Nicholls,Houston Baptist,76.36,65.92,183.0,342.0
Loyola Marymount,San Diego,66.26,63.82,207.0,186.0
Gardner-Webb,Radford,66.8,57.94,189.0,280.0
Tarleton,UT Rio Grande,72.7,70.81,190.0,277.0
Montana,E. Washington,72.07,68.9,205.0,193.0
UTEP,FIU,67.57,60.04,201.0,261.0
Campbell,High Point,65.47,60.14,206.0,250.0
W. Illinois,St. Thomas,80.75,74.49,210.0,255.0
Kennesaw State,North Alabama,72.05,62.97,212.0,293.0
N. Colorado,Idaho State,80.23,61.21,213.0,355.0
FGCU,Bellarmine,72.75,70.25,228.0,215.0
UC Davis,Long Beach St.,74.65,70.96,217.0,216.0
Norfolk State,S. Carolina St.,72.33,67.52,224.0,320.0
Dartmouth,Columbia,71.28,63.56,226.0,346.0
Texas A&M-CC,Northwestern St.,76.74,69.58,229.0,338.0
Samford,W. Carolina,76.99,73.91,230.0,313.0
Tenn. Tech,Austin Peay,72.84,67.38,232.0,262.0
Youngstown St.,Milwaukee,72.44,63.34,233.0,310.0
South Dakota,North Dakota,79.42,63.48,234.0,348.0
UC San Diego,CSU Bakersfield,62.68,62.27,284.0,235.0
Georgia State,UL Monroe,71.11,70.33,236.0,298.0
Presbyterian,UNC Asheville,62.06,60.62,269.0,238.0
E. Michigan,Miami (OH),71.49,71.16,287.0,240.0
Elon,William & Mary,69.59,66.12,242.0,326.0
E. Kentucky,Stetson,70.11,66.74,247.0,324.0
NC A&T,USC Upstate,73.47,71.71,274.0,251.0
Mt. St. Mary's,St. Francis (PA),68.82,62.02,252.0,299.0
UMKC,Omaha,72.92,67.44,253.0,340.0
Jacksonville,Cent. Arkansas,71.55,62.37,257.0,318.0
SE Missouri St.,SIUE,79.73,76.48,268.0,259.0
Binghamton,UMBC,69.24,68.36,304.0,265.0
Albany,NJIT,62.61,60.69,267.0,330.0
Jackson State,Grambling,67.21,59.51,272.0,323.0
Army,Lafayette,73.28,64.82,273.0,329.0
SE Louisiana,Incarnate Word,80.53,65.44,276.0,353.0
Dixie State,Chicago State,72.82,68.93,279.0,339.0
Ball State,W. Michigan,77.35,67.23,282.0,337.0
Coppin State,UMES,73.22,67.74,283.0,305.0
North Florida,Lipscomb,77.18,72.7,285.0,291.0
Tennessee St.,E. Illinois,67.24,57.05,288.0,356.0
Alabama State,Bethune-Cookman,67.93,61.59,289.0,314.0
Robert Morris,Green Bay,69.66,64.11,301.0,315.0
N. Illinois,Cent. Michigan,72.96,64.06,309.0,345.0
Alabama A&M,Florida A&M,62.11,60.43,331.0,311.0
N. Arizona,Portland State,69.56,64.5,312.0,325.0
Charleston So.,Hampton,66.32,62.92,344.0,343.0
Morgan State,Delaware State,75.78,61.81,347.0,358.0
Miss. Valley St.,AR-Pine Bluff,73.53,71.05,354.0,351.0
