Home,Away,Hasla_Home_Points,Hasla_Away_Points,Hasla_Home_Rank,Hasla_Away_Rank
Gonzaga,Portland,94.06,61.02,1.0,231.0
Baylor,Alabama,78.68,71.96,2.0,31.0
Arizona,Arizona State,84.49,57.76,3.0,172.0
Villanova,St. John's,77.5,59.08,5.0,89.0
Kansas,Kentucky,78.18,77.1,9.0,6.0
Houston,UCF,73.43,64.12,7.0,87.0
Auburn,Oklahoma,70.66,62.53,8.0,18.0
Duke,Louisville,76.24,65.62,10.0,119.0
Illinois,Northwestern,72.67,68.74,11.0,58.0
UCLA,Stanford,76.08,61.54,12.0,105.0
Texas Tech,Miss. State,69.7,62.04,13.0,40.0
LSU,TCU,62.49,58.48,14.0,73.0
Texas,Tennessee,64.14,60.77,16.0,15.0
Indiana,Maryland,68.43,66.11,17.0,74.0
UConn,DePaul,73.52,68.63,20.0,101.0
Michigan State,Michigan,71.32,66.68,22.0,29.0
Saint Mary's,Pepperdine,75.79,53.44,23.0,266.0
Xavier,Creighton,68.48,68.27,24.0,61.0
Wake Forest,Syracuse,76.95,74.2,25.0,85.0
Iowa State,Missouri,71.61,55.68,27.0,178.0
Arkansas,West Virginia,74.13,66.71,28.0,69.0
North Carolina,NC State,80.22,70.7,30.0,88.0
Florida,Oklahoma State,69.36,63.63,32.0,51.0
USC,California,70.14,57.42,33.0,135.0
UAB,Marshall,81.97,70.34,34.0,223.0
San Francisco,Santa Clara,78.97,69.64,37.0,93.0
Oregon,Oregon State,79.53,65.35,38.0,161.0
Murray State,Morehead State,74.53,61.29,41.0,150.0
SMU,Temple,74.34,62.02,42.0,133.0
Missouri State,Evansville,74.24,52.96,44.0,302.0
Davidson,La Salle,80.3,60.67,45.0,264.0
BYU,Pacific,74.08,59.21,46.0,294.0
Belmont,UT Martin,84.97,62.16,49.0,303.0
Utah State,Nevada,75.5,72.66,50.0,114.0
Miami,Georgia Tech,75.57,69.78,52.0,170.0
Saint Louis,Duquesne,73.13,63.53,53.0,246.0
Kansas State,Ole Miss,65.07,63.53,55.0,111.0
Richmond,VCU,63.42,63.27,90.0,56.0
LA Tech,North Texas,63.09,61.32,80.0,57.0
Texas A&M,South Carolina,70.13,62.3,60.0,108.0
Vermont,Maine,81.57,53.1,62.0,352.0
Florida State,Virginia Tech,65.97,63.99,81.0,63.0
South Dakota St.,North Dakota St.,81.45,69.36,65.0,154.0
Notre Dame,Virginia,64.65,58.9,70.0,102.0
Chattanooga,The Citadel,76.95,66.83,76.0,263.0
Furman,Mercer,71.13,65.51,79.0,200.0
New Mexico St.,Grand Canyon,64.92,64.02,110.0,83.0
Towson,Drexel,73.32,63.82,84.0,164.0
Tulane,Wichita State,69.36,66.45,92.0,86.0
Liberty,Jacksonville St.,68.9,63.18,96.0,121.0
Hofstra,UNC Wilmington,73.62,68.25,99.0,227.0
Vanderbilt,Georgia,74.63,64.32,100.0,192.0
Rutgers,Nebraska,68.19,67.79,103.0,139.0
Northern Iowa,Illinois State,80.44,73.2,104.0,132.0
South Alabama,Troy,69.22,65.94,106.0,204.0
Oakland,UIC,82.26,65.47,109.0,292.0
St. Bonaventure,Saint Joe's,73.23,67.51,112.0,137.0
W. Kentucky,Mid Tennessee,72.74,70.14,123.0,117.0
UC Irvine,Cal Poly,65.56,50.81,118.0,307.0
VMI,ETSU,79.23,72.02,122.0,184.0
Wofford,UNCG,64.68,58.75,124.0,176.0
Princeton,Yale,77.11,69.98,125.0,188.0
Washington,Utah,69.13,67.48,162.0,127.0
Hawaii,UCSB,70.44,63.4,128.0,195.0
Oral Roberts,Denver,76.6,71.63,130.0,270.0
Seattle,Sam Houston,68.37,65.19,142.0,131.0
Montana State,Idaho,83.27,66.23,138.0,328.0
Delaware,JMU,76.15,74.38,140.0,237.0
UC Riverside,CSU Fullerton,67.21,64.54,159.0,141.0
Abil. Christian,Lamar,72.69,62.18,143.0,335.0
Stephen F. Austin,Cal Baptist,68.85,68.49,144.0,221.0
Texas Southern,PV A&M,74.6,69.34,146.0,297.0
FAU,UTSA,73.94,64.97,147.0,332.0
Navy,American,72.61,55.94,148.0,336.0
Longwood,Winthrop,75.29,68.64,149.0,211.0
Coast. Carolina,Arkansas State,71.07,66.25,151.0,177.0
Appalachian St.,Little Rock,73.62,59.25,152.0,319.0
Howard,NC Central,75.09,71.1,153.0,271.0
Butler,Georgetown,71.33,66.8,156.0,181.0
Old Dominion,Charlotte,68.55,67.81,214.0,157.0
Southern,Alcorn State,72.2,71.53,163.0,241.0
Texas State,UT Arlington,67.13,59.7,167.0,243.0
Tulsa,USF,66.34,60.6,168.0,218.0
Weber State,Sacramento St.,73.25,65.54,169.0,327.0
Charleston,Northeastern,76.11,67.93,171.0,248.0
Louisiana,GA Southern,69.67,62.06,173.0,245.0
Rice,Southern Miss,73.79,66.94,179.0,321.0
Bowling Green,Kent State,71.2,70.92,244.0,182.0
