date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
,Abilene Christian,70,East Tennessee St.,47,6.5,-5.46,-7.34,-7.34,-7.34,-7.34,1.46,-1,-9.32,-10,4.2,-1.32,-2,1,,,,,,,,,-9.71,,,0.2
11/25/2020,Alabama,81,Jacksonville St.,57,20.5,17.53,16.94,16.94,16.94,16.94,19.64,18,16.72,16,2.3,22.82,13.8,0,,17.36,,,,,,,16.3,,,20
11/25/2020,Arkansas,142,Miss Valley St.,62,36.5,31.78,30.21,30.21,30.21,30.21,29.45,37,,34,4.05,41.43,25.1,0,,33.47,,,,,,,31.74,,,33.6
11/25/2020,Arkansas-Little Rock,71,Prairie View,66,14,7.7,7.31,7.31,7.31,7.31,11.05,11.5,,7,2.7,11.15,,1,,2.78,,,,,,,4.93,,,10.8
11/25/2020,Boston College,67,Villanova,76,-14,-13.4,-13.53,-13.53,-13.53,-13.53,-14.79,-14,-16.65,-17,2.55,-13.88,-10.8,1,,-10.34,,,,,,,-8.2,,,-15
11/25/2020,Bradley,61,Toledo,59,3,0.34,-0.19,-0.19,-0.19,-0.19,-6.17,5,-1.87,3,2.74,2.3,,1,,3.76,,,,,,,2,,,1.5
11/25/2020,Butler,66,Western Michigan,62,18.5,16.52,14.7,14.7,14.7,14.7,18.68,19,18.61,19,2.62,21.69,15.6,0,,12.76,,,,,,,14.94,,,18.2
11/25/2020,Chicago St.,61,Ohio,84,-20.5,-23.41,-28.02,-28.02,-28.02,-28.02,-19.41,-22,-18.36,-27,4.81,-25.17,,1,,-18.07,,,,,,,-15.85,,,-21.6
11/25/2020,Connecticut,102,Central Conn. St.,75,27,25.44,23.87,23.87,23.87,23.87,22.76,26,,30,3.52,32.81,,0,,21.74,,,,,,,24.12,,,27.5
11/25/2020,Davidson,82,High Point,73,18.5,17.04,13.43,13.43,13.43,13.43,12.27,18.5,,22,4.88,27.83,15.6,0,,17.17,,,,,,,17.34,,,21.5
11/25/2020,Florida Gulf Coast,65,Florida A&M,56,5.5,6.27,3.79,3.79,3.79,3.79,4.77,4.5,,7,3.41,9.55,3,0,,12.07,,,,,,,5.42,,,12
11/25/2020,Georgetown,70,MD Baltimore Co,62,13,10.37,7.57,7.57,7.57,7.57,1.24,13,,14,4.96,19.49,11.6,0,,9.11,,,,,,,15.37,,,13
11/25/2020,Georgia Tech,120,Georgia St.,123,8,7.6,5.52,5.52,5.52,5.52,9.07,6,5.89,15,2.92,7.51,,0,,5.77,,,,,,,9.32,,,9
11/25/2020,Grand Canyon,69,Grambling St.,53,12.5,11.14,13.09,13.09,13.09,13.09,7.19,12,,7,3.46,13.59,5.8,0,,15.97,,,,,,,7.82,,,12.8
11/25/2020,Houston,89,Lamar,45,22.5,21.29,21.78,21.78,21.78,21.78,22.2,22,,21,2.26,25.48,16.1,0,,19.75,,,,,,,20.23,,,22.3
11/25/2020,IPFW,67,SE Louisiana,63,9,7.85,5.48,5.48,5.48,5.48,8.46,9.5,,11,2.28,10.49,,0,,9,,,,,,,7.39,,,10.2
11/25/2020,Illinois,122,North Carolina A&T,60,29,23.81,24.55,24.55,24.55,24.55,26.06,26.5,,22,3.06,26.67,,0,,17.68,,,,,,,20.03,,,27.5
11/25/2020,Indiana,89,Tennessee Tech,59,23.5,22.4,22.04,22.04,22.04,22.04,7.93,21,27.31,24,5.56,30.21,19.6,0,,20.06,,,,,,,23.92,,,27.6
11/25/2020,Iowa,97,NC Central,67,28,25.37,25.17,25.17,25.17,25.17,24.05,24,,21,3.28,31.61,19.6,0,,28.59,,,,,,,26.47,,,27.1
11/25/2020,Kansas St.,70,Drake,80,4.5,8.3,7.46,7.46,7.46,7.46,7.23,8,9.79,13,2.37,11.7,5.9,0,,4.42,,,,,,,9.26,,,8.5
11/25/2020,Kentucky,81,Morehead St.,45,25.5,22.84,23.08,23.08,23.08,23.08,17.33,25,25.95,24,3.7,29.1,20,0,,15.75,,,,,,,23.46,,,26.2
11/25/2020,Louisville,79,Evansville,44,21,19.98,18.3,18.3,18.3,18.3,9.61,22,20.27,29,4.91,26.82,18,0,,19.5,,,,,,,19.61,,,23.7
11/25/2020,Loyola Marymount,85,Southern Utah,83,4.5,3.8,4.03,4.03,4.03,4.03,1.59,6,3.04,3,1.91,3.21,0.3,0,,6.35,,,,,,,4.37,,,7.6
11/25/2020,Marquette,99,Arkansas Pine Bluff,57,30,28.95,31.1,31.1,31.1,31.1,18.06,30,,34,5.78,37.66,23.8,0,,20.74,,,,,,,29.97,,,29.8
11/25/2020,Maryland,85,Old Dominion,67,9.5,11.92,11.41,11.41,11.41,11.41,9.54,8,13.02,18,2.42,12.16,11.1,0,,9.44,,,,,,,14.59,,,9.6
11/25/2020,Memphis,73,St. Mary's,56,5,0.43,1.21,1.21,1.21,1.21,-8.24,3,-3.51,-3,3.71,2.43,5,1,,4.04,,,,,,,0.15,,,3.4
11/25/2020,Miami-Ohio,81,North Dakota,67,6.5,5.99,2.16,2.16,2.16,2.16,12.88,6,2.58,10,4.08,6.76,,0,,11.02,,,,,,,5.56,,,8.5
11/25/2020,Michigan,94,Bowling Green,82,13.5,16.22,14.45,14.45,14.45,14.45,17.67,14,16.49,18,2.99,23.38,11.2,0,,15.34,,,,,,,16.72,,,18
11/25/2020,Michigan St.,83,Eastern Michigan,67,21,20.09,18.83,18.83,18.83,18.83,19.53,19,19.33,25,2.53,24.04,16.1,0,,18.42,,,,,,,21.68,,,21.6
11/25/2020,Minnesota,99,Wisconsin-Green Bay,69,19,17.8,15.1,15.1,15.1,15.1,18.59,19,15.27,20,4.14,27.43,12.6,0,,22.84,,,,,,,17.37,,,19.1
11/25/2020,Mississippi St.,42,Clemson,53,-4,-1.33,-0.78,-0.78,-0.78,-0.78,-7.9,-4,1.35,2,2.63,-1.41,-2.7,1,,-1.36,,,,,,,0.95,,,-3.8
11/25/2020,Missouri,91,Oral Roberts,64,14.5,10.28,6.55,6.55,6.55,6.55,22.68,13,9.86,10,4.83,10.79,6.1,0,,13.27,,,,,,,9.68,,,14.8
11/25/2020,Morgan St.,55,Mount St. Marys,62,-1,-2.05,-5,-5,-5,-5,-0.1,0,,2,3.25,-3.99,3.8,0,,,,,,,,,-1.37,,,-0.8
11/25/2020,NC Wilmington,98,Western Carolina,76,-4,-4.79,-3.61,-3.61,-3.61,-3.61,-0.84,-3,-2.92,-10,2.7,-5.67,-7.6,1,,-8.67,,,,,,,-4.69,,,-2.6
11/25/2020,Navy,78,George Washington,71,1.5,0.16,-4.02,-4.02,-4.02,-4.02,4.24,2,,6,3.91,2.09,2,0,,,,,,,,,0.01,,,3.3
11/25/2020,Nebraska,102,McNeese St.,55,13,12.65,12.93,12.93,12.93,12.93,10.45,14,,8,2.77,16.66,,0,,,,,,,,,16.44,,,10.6
11/25/2020,Nebraska Omaha,66,Austin Peay,72,-6.5,-4.63,-4.78,-4.78,-4.78,-4.78,-5.73,-5,-4.02,-11,2.3,-4.61,-3.2,1,,-2.94,,,,,,,-1.57,,,-3.4
11/25/2020,Nevada,62,North Dakota St.,48,4,5.22,5.59,5.59,5.59,5.59,4.9,2,5.63,-1,2.32,6.69,,1,,8.71,,,,,,,5.23,,,4.9
11/25/2020,North Carolina,79,Charleston,60,17,15.23,16,16,16,16,20.42,17,13.76,15,2.48,16,10.5,0,,12.33,,,,,,,13.84,,,16.9
11/25/2020,North Carolina St.,95,Charleston Southern,61,19,19.24,15.84,15.84,15.84,15.84,20.35,17,,23,3.39,24.73,16.4,0,,22.04,,,,,,,19.84,,,21.9
11/25/2020,North Florida,67,Eastern Kentucky,80,-1,-0.44,-0.44,-0.44,-0.44,-0.44,-8.68,,,2,3.63,2.75,1.5,1,,-5.46,,,,,,,3.53,,,1.3
11/25/2020,Northern Illinois,61,Illinois-Chicago,65,1,4.67,2.45,2.45,2.45,2.45,10.07,2,3.55,2,2.59,5.29,8.1,0,,6.62,,,,,,,5.2,,,5.4
11/25/2020,Northern Iowa,87,Western Kentucky,93,-3,1.18,1.06,1.06,1.06,1.06,-1.98,0,2.09,5,1.8,2.92,1.2,1,,-1.52,,,,,,,1.15,,,1.1
11/25/2020,Northern Kentucky,74,Ball St.,73,-2,-0.87,-1.85,-1.85,-1.85,-1.85,-4.1,0,1.05,1,1.8,-3.13,-0.2,0,,0.54,,,,,,,1.21,,,0.6
11/25/2020,Ohio St.,94,Illinois St.,67,19,18.38,15.93,15.93,15.93,15.93,18.18,17.5,16.98,23,3.38,26.23,15.1,0,,19.33,,,,,,,17.57,,,20.5
11/25/2020,Oregon St.,71,California,63,2,4.36,-0.29,-0.29,-0.29,-0.29,10.02,2,7.21,11,4.41,8.5,,0,,2.96,,,,,,,6.25,,,3.2
11/25/2020,Pacific,66,Cal Riverside,60,6,5.84,3.55,3.55,3.55,3.55,4.25,7,7.12,11,2.66,7.6,8.2,0,,2.56,,,,,,,7.97,,,7.2
11/25/2020,Pepperdine,86,UC Irvine,72,3,0.38,-1.19,-1.19,-1.19,-1.19,8.09,2,-4.72,-2,3.65,-0.54,1.6,1,,6.94,,,,,,,-0.25,,,0.2
