date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/05/2019,Alabama,,Pennsylvania,7.5,7.5,10.56,12.4,12.4,12.4,12.4,6.72,7.5,9.74,9,1.92,9.6,10.8,0,8.2,,,,,2,,,9.62,11.36,,12.7
11/05/2019,Arkansas,,Rice,18,18,19.23,18.58,18.58,18.58,18.58,16.98,18,19.8,23,1.65,20.25,18.5,0,21.3,,,,,2,,,18.76,20.03,,17.1
11/05/2019,Auburn,,Georgia Southern,14,14,15.42,15.72,15.72,15.72,15.72,5.97,14.5,15.67,20,3.57,17.79,15.4,0,16.4,,,,,2,,,18.83,,,12.1
11/05/2019,BYU,,Cal St. Fullerton,15.5,15.5,13.72,15.69,15.69,15.69,15.69,8.86,14.5,13.05,15,2.6,14.32,12.6,0,10.7,,,,,2,,,11.57,11.36,,18.1
11/05/2019,Baylor,,Central Arkansas,26.5,26.5,24.66,25.88,25.88,25.88,25.88,16.69,-1,26.81,24,2.82,25.76,21.2,0,25,,,,,2,,,24.42,26.38,,26.8
11/05/2019,Boston,,Northeastern,-2,-2,-4.14,-2.41,-2.41,-2.41,-2.41,3.43,0,-7.43,-6,3.32,-4.55,-8.6,0,-5.6,,,,,,,,-6.86,-7.35,,-1.2
11/05/2019,Bryant,,Brown,-6,-6,-6.77,-5.65,-5.65,-5.65,-5.65,-2.71,-6.5,-7.51,-8,2.39,-10.2,-4.3,0,-10.2,,,,,2,,,-7.11,-10.29,,-5.1
11/05/2019,California,,Pepperdine,-2,-2,-0.78,-2.45,-2.45,-2.45,-2.45,-0.44,-2.5,3.72,-1,2.2,-1.97,-1.4,0,-2.3,,,,,2,,,-0.38,-0.45,,3.9
11/05/2019,California Baptist,,Jackson St.,11,11,13.12,18,18,18,18,3.55,11,8.53,17,4.85,13.36,5.9,0,13.6,,,,,2,,,10.86,13.72,,12
11/05/2019,Central Conn. St.,,Hartford,-2.5,-2.5,-3.98,-3.8,-3.8,-3.8,-3.8,2.91,-2.5,-6.16,-10,3.07,-3.49,-6,0,-6.3,,,,,2,,,-4.64,-2.38,,-0.5
11/05/2019,Charleston,,South Carolina Upstat,19,19,18.73,18.15,18.15,18.15,18.15,17.1,19,19.27,22,1.34,19.06,19.1,0,18,,,,,2,,,20.01,16.84,,19.5
11/05/2019,Clemson,,Virginia Tech,7,7,2.07,6.27,6.27,6.27,6.27,-2.8,4,5.55,0.01,4.05,-0.09,-3.4,0,-2.8,,,,,,,,-1.07,0.41,,6
11/05/2019,Coastal Carolina,,Campbell,8.5,8.5,6.56,8.13,8.13,8.13,8.13,7.51,9,5.2,4,2.68,8.94,0.4,0,4.6,,,,,2,,,5.54,5.76,,10.8
11/05/2019,Colorado St.,,Denver,13.5,13.5,11.59,9.82,9.82,9.82,9.82,18.23,13.5,8.77,15,2.68,13.94,10.6,0,12.2,,,,,2,,,10.34,10.46,,11.9
