event id,participant full name,Away Team,Home Team,Home Spread Bet354,total bet365,datetime,Home Spread Bovada,total bovada
4582084,San Diego Toreros,Pepperdine Waves,San Diego Toreros,-7.5,140.0,2022-01-27T20:12:21-07:00,-7.5,140.0
4582093,McNeese State Cowboys,Nicholls State Colonels,McNeese State Cowboys,5.0,147.5,2022-01-27T11:58:54-07:00,5.0,147.5
4582101,Gonzaga Bulldogs,Loyola Marymount Lions,Gonzaga Bulldogs,-28.5,156.5,2022-01-27T19:27:41-07:00,-28.5,156.5
4582109,Robert Morris Colonials,Milwaukee Panthers,Robert Morris Colonials,1.5,141.5,2022-01-27T14:00:22-07:00,1.5,141.5
4582114,UTEP Miners,Florida Atlantic Owls,UTEP Miners,-1.5,133.5,2022-01-27T18:12:50-07:00,-1.5,133.5
4582123,Sacred Heart Pioneers,St. Francis (BKN) Terriers,Sacred Heart Pioneers,-2.5,143.5,2022-01-27T09:12:03-07:00,-2.5,143.5
4582136,Coastal Carolina Chanticleers,Arkansas-Little Rock Trojans,Coastal Carolina Chanticleers,-10.5,141.0,2022-01-27T16:54:18-07:00,-10.5,141.0
4582149,Western Kentucky Hilltoppers,UAB Blazers,Western Kentucky Hilltoppers,3.5,146.5,2022-01-27T17:02:20-07:00,3.5,146.5
4582154,Youngstown State Penguins,Green Bay Phoenix,Youngstown State Penguins,-6.0,135.0,2022-01-27T12:44:27-07:00,-6.0,135.0
4582178,Santa Clara Broncos,BYU Cougars,Santa Clara Broncos,3.0,150.0,2022-01-27T20:55:28-07:00,3.0,150.0
4582192,Appalachian State Mountaineers,Arkansas State Red Wolves,Appalachian State Mountaineers,-3.0,134.5,2022-01-27T16:31:09-07:00,-3.0,134.5
4582199,Portland Pilots,Pacific Tigers,Portland Pilots,-2.5,138.0,2022-01-27T19:08:15-07:00,-2.5,138.0
4582234,Bryant University Bulldogs,Merrimack Warriors,Bryant University Bulldogs,-7.5,132.5,2022-01-27T12:44:27-07:00,-7.5,132.5
4582245,Hawaii Warriors,Cal State Northridge Matadors,Hawaii Warriors,-13.5,130.5,2022-01-27T21:04:54-07:00,-13.5,130.5
4582251,Marshall Thundering Herd,Middle Tennessee Blue Raiders,Marshall Thundering Herd,-2.5,149.0,2022-01-27T14:37:00-07:00,-2.5,149.0
4582266,Detroit Mercy Titans,Illinois-Chicago Flames,Detroit Mercy Titans,-5.5,143.0,2022-01-27T12:08:36-07:00,-5.5,143.0
4582284,Central Connecticut State Blue Devils,LIU Sharks,Central Connecticut State Blue Devils,7.5,143.0,2022-01-27T06:24:03-07:00,7.5,143.0
4582293,Jacksonville Dolphins,Lipscomb Bisons,Jacksonville Dolphins,-3.0,138.5,2022-01-27T15:09:37-07:00,-3.0,138.5
4582298,Chicago State Cougars,Utah Valley Wolverines,Chicago State Cougars,10.5,128.0,2022-01-27T15:22:51-07:00,10.5,128.0
4582311,Florida Gulf Coast Eagles,Eastern Kentucky Colonels,Florida Gulf Coast Eagles,-3.5,154.0,2022-01-27T13:37:44-07:00,-3.5,154.0
4582321,Wagner Seahawks,St. Francis (PA) Red Flash,Wagner Seahawks,-15.0,141.5,2022-01-27T06:30:23-07:00,-15.0,141.5
4582328,Fairleigh Dickinson Knights,Mount St. Mary's Mountaineers,Fairleigh Dickinson Knights,5.5,135.5,2022-01-27T06:30:23-07:00,5.5,135.5
4582338,Liberty Flames,North Alabama Lions,Liberty Flames,-14.0,134.5,2022-01-27T16:41:58-07:00,-14.0,134.5
4582343,Texas-Arlington Mavericks,Texas State Bobcats,Texas-Arlington Mavericks,3.5,127.5,2022-01-27T14:49:49-07:00,3.5,127.5
4582354,South Dakota Coyotes,North Dakota State Bison,South Dakota Coyotes,2.5,143.5,2022-01-27T17:49:10-07:00,2.5,143.5
4582361,James Madison Dukes,Drexel Dragons,James Madison Dukes,-3.5,147.5,2022-01-27T16:54:18-07:00,-3.5,147.5
4582377,Towson Tigers,Delaware Fightin Blue Hens,Towson Tigers,-4.0,139.5,2022-01-27T12:17:07-07:00,-4.0,139.5
4582380,Denver Pioneers,Kansas City Roos,Denver Pioneers,1.0,134.0,2022-01-27T17:02:20-07:00,1.0,134.0
4582401,South Dakota State Jackrabbits,North Dakota Fighting Hawks,South Dakota State Jackrabbits,-22.0,161.0,2022-01-27T13:33:29-07:00,-22.0,161.0
4582417,North Florida Ospreys,Central Arkansas Bears,North Florida Ospreys,-5.5,150.5,2022-01-27T15:10:11-07:00,-5.5,150.5
4582422,Austin Peay Governors,Belmont Bruins,Austin Peay Governors,16.0,145.5,2022-01-27T16:38:59-07:00,16.0,145.5
4582444,Tennessee Tech Golden Eagles,Murray State Racers,Tennessee Tech Golden Eagles,13.0,145.5,2022-01-27T16:56:37-07:00,13.0,145.5
4582462,SIU-Edwardsville Cougars,Tennessee State Tigers,SIU-Edwardsville Cougars,-5.0,141.0,2022-01-27T06:05:11-07:00,-5.0,141.0
4582469,Southeastern Louisiana Lions,Texas A&M-CC Islanders,Southeastern Louisiana Lions,-3.5,148.5,2022-01-27T17:06:56-07:00,-3.5,148.5
4582480,Northern Colorado Bears,Weber State Wildcats,Northern Colorado Bears,1.0,157.0,2022-01-27T16:56:37-07:00,1.0,157.0
4582483,Montana Grizzlies,Idaho Vandals,Montana Grizzlies,-13.5,142.5,2022-01-27T18:51:17-07:00,-13.5,142.5
4582494,Southeast Missouri State Redhawks,Morehead State Eagles,Southeast Missouri State Redhawks,6.5,147.0,2022-01-27T18:35:07-07:00,6.5,147.0
4582508,UC Davis Aggies,Cal State Fullerton Titans,UC Davis Aggies,-2.5,143.0,2022-01-27T19:58:40-07:00,-2.5,143.0
4582527,Montana State Bobcats,Eastern Washington Eagles,Montana State Bobcats,-7.5,147.5,2022-01-27T18:41:36-07:00,-7.5,147.5
4582534,Portland State Vikings,Southern Utah Thunderbirds,Portland State Vikings,6.5,147.0,2022-01-27T12:50:59-07:00,6.5,147.0
4582542,UC Irvine Anteaters,Cal State Bakersfield Roadrunners,UC Irvine Anteaters,-8.5,122.5,2022-01-27T12:14:56-07:00,-8.5,122.5
4582547,UC Riverside Highlanders,Long Beach State Beach,UC Riverside Highlanders,-5.5,135.0,2022-01-27T08:46:32-07:00,-5.5,135.0
4582555,UC San Diego Tritons,Cal Poly Mustangs,UC San Diego Tritons,-2.5,121.5,2022-01-27T13:52:06-07:00,-2.5,121.5
4586459,UCLA Bruins,California Golden Bears,UCLA Bruins,-13.0,128.5,2022-01-27T17:13:13-07:00,-13.0,128.5
4586460,Memphis Tigers,East Carolina Pirates,Memphis Tigers,-11.5,147.0,2022-01-27T18:01:29-07:00,-11.5,147.0
4586463,USC Trojans,Stanford Cardinal,USC Trojans,-11.0,140.5,2022-01-27T19:17:13-07:00,-11.0,140.5
4611169,UNC Asheville Bulldogs,Gardner-Webb Runnin' Bulldogs,UNC Asheville Bulldogs,-1.5,140.0,2022-01-27T13:48:22-07:00,-1.5,140.0
4611316,Tennessee-Martin Skyhawks,Eastern Illinois Panthers,Tennessee-Martin Skyhawks,-12.5,134.5,2022-01-27T12:57:12-07:00,-12.5,134.5
4633890,Elon Phoenix,William & Mary Tribe,Elon Phoenix,-8.0,143.5,2022-01-27T12:09:27-07:00,-8.0,143.5
4635395,Southern Illinois Salukis,Loyola Chicago Ramblers,Southern Illinois Salukis,5.5,125.0,2022-01-27T17:19:33-07:00,5.5,125.0
4639269,Washington Huskies,Colorado Buffaloes,Washington Huskies,2.5,136.0,2022-01-27T19:29:46-07:00,2.5,136.0
4641781,Northern Illinois Huskies,Ball State Cardinals,Northern Illinois Huskies,3.0,142.0,2022-01-27T11:56:53-07:00,3.0,142.0
4649961,Nebraska Cornhuskers,Wisconsin Badgers,Nebraska Cornhuskers,9.0,145.5,2022-01-27T14:32:49-07:00,9.0,145.5
