Home,Away,Hasla_Home_Points,Hasla_Away_Points,Hasla_Home_Rank,Hasla_Away_Rank
Auburn,Alabama,82.13,71.55,8.0,26.0
Texas Tech,Texas,62.67,57.57,11.0,17.0
Kansas,Iowa State,69.45,68.14,12.0,31.0
LSU,Ole Miss,69.68,56.25,15.0,105.0
Tennessee,Texas A&M,69.64,59.84,16.0,72.0
North Carolina,Louisville,76.64,68.84,18.0,122.0
Michigan State,Maryland,70.53,67.58,19.0,79.0
UConn,Creighton,70.4,61.6,21.0,71.0
Utah State,Air Force,69.63,54.06,32.0,203.0
Michigan,Nebraska,78.86,64.81,39.0,144.0
Miss. State,South Carolina,72.9,64.56,45.0,97.0
Seton Hall,Georgetown,79.06,71.96,49.0,170.0
Davidson,St. Bonaventure,70.96,70.17,53.0,104.0
Northwestern,Rutgers,69.02,61.25,59.0,103.0
St. John's,Providence,72.33,71.49,86.0,60.0
Toledo,E. Michigan,77.79,66.23,65.0,263.0
Fresno State,San Jose State,67.33,55.61,66.0,300.0
Ohio,Ball State,81.6,62.67,69.0,280.0
Wichita State,Tulsa,73.2,64.24,84.0,143.0
Richmond,Duquesne,72.57,65.04,91.0,257.0
Virginia,Boston College,62.8,56.52,100.0,138.0
Stanford,California,66.92,61.73,107.0,126.0
UNLV,Nevada,77.18,70.6,110.0,134.0
UC Riverside,UC Davis,67.08,58.61,133.0,227.0
Kent State,Miami (OH),68.81,67.11,174.0,271.0
Bowling Green,Cent. Michigan,82.16,76.87,253.0,338.0
Siena,Canisius,68.31,62.48,255.0,289.0
N. Illinois,W. Michigan,66.25,65.98,314.0,340.0
