Home,Away,Hasla_Home_Points,Hasla_Away_Points,Hasla_Home_Rank,Hasla_Away_Rank
Purdue,Ohio State,79.99,68.25,4.0,27.0
Wisconsin,Minnesota,73.16,62.54,24.0,95.0
Loyola-Chicago,Drake,66.82,64.15,31.0,98.0
Providence,Marquette,70.17,68.53,58.0,37.0
Washington St.,Colorado,68.98,61.74,57.0,94.0
Iona,St. Peter's,71.94,60.73,76.0,161.0
Bradley,Indiana State,75.25,65.9,78.0,124.0
Cincinnati,ECU,69.17,65.33,80.0,162.0
George Mason,UMass,75.42,72.41,101.0,197.0
Wagner,St. Francis (BKN),74.29,62.5,109.0,324.0
Monmouth,Niagara,68.95,60.72,118.0,198.0
S. Illinois,Valparaiso,64.19,56.68,120.0,199.0
Boston College,Pittsburgh,63.98,59.18,153.0,189.0
Brown,Cornell,77.73,72.06,165.0,202.0
Fordham,G. Washington,65.93,64.29,167.0,253.0
Marist,Manhattan,71.94,68.32,178.0,290.0
Cleveland State,N. Kentucky,66.01,65.51,181.0,240.0
Wright State,Fort Wayne,74.71,72.23,225.0,204.0
Bryant,Long Island,79.41,72.75,213.0,251.0
Siena,Quinnipiac,68.12,66.86,279.0,242.0
New Orleans,McNeese,72.9,72.0,255.0,309.0
Loyola (MD),Bucknell,71.59,67.87,256.0,337.0
Rider,Canisius,70.41,67.52,297.0,286.0
Fair. Dickinson,Cent. Conn. St.,66.61,65.05,351.0,343.0
Morgan State,Delaware State,75.3,61.28,347.0,358.0
