Home,Away,Torv_Home_Points,Torv_Away_Points,Torv_Line
Notre Dame,Duke,70,74,4.3
Penn St.,Iowa,67,70,3.1
Wyoming,Colorado St.,75,72,3.5
Oklahoma,TCU,65,60,5.2
Baylor,West Virginia,76,61,14.9
Mercer,Wofford,69,70,1.0
UNC Wilmington,Drexel,69,68,0.0
North Carolina Central,Norfolk St.,68,69,0.0
Kennesaw St.,Liberty,68,71,3.4
Jackson St.,Southern,63,65,1.3
Tennessee Tech,Morehead St.,66,69,2.9
Weber St.,Eastern Washington,82,75,7.6
San Diego St.,New Mexico,73,60,12.5
Austin Peay,SIU Edwardsville,70,68,2.3
Portland St.,Northern Colorado,73,78,4.6
South Carolina St.,Howard,74,79,5.5
Western Illinois,UMKC,73,65,7.7
Maryland Eastern Shore,Morgan St.,70,68,1.9
Towson,James Madison,81,68,13.3
Alabama St.,Florida A&M,71,67,3.6
Alabama A&M,Bethune Cookman,58,57,0.5
Santa Clara,Pacific,81,65,16.8
Lafayette,Colgate,65,71,6.2
Vermont,Albany,70,57,13.4
North Dakota,South Dakota St.,74,95,20.3
Alcorn St.,Grambling St.,75,65,10.4
Maine,Hartford,67,72,4.9
Southern Utah,Northern Arizona,79,67,12.1
Delaware St.,Coppin St.,66,75,8.5
Boston University,Holy Cross,76,58,17.9
