Home,Away,Torv_Home_Points,Torv_Away_Points,Torv_Line
Kansas,Kentucky,81,77,4.2
TCU,LSU,57,59,1.8
Creighton,Xavier,69,70,0.4
Alabama,Baylor,74,81,6.2
Syracuse,Wake Forest,76,77,0.5
Texas,Tennessee,63,59,4.1
Richmond,VCU,63,62,0.1
Northwestern,Illinois,70,74,4.2
Louisiana Tech,North Texas,62,61,0.2
Nevada,Utah St.,74,76,1.8
Mississippi,Kansas St.,62,63,0.1
Michigan St.,Michigan,72,67,4.6
Florida St.,Virginia Tech,66,63,2.5
Florida,Oklahoma St.,68,64,4.2
Maryland,Indiana,66,68,2.5
Auburn,Oklahoma,71,64,7.3
Tulane,Wichita St.,68,66,2.1
Nebraska,Rutgers,69,68,0.5
Arkansas,West Virginia,74,68,5.7
DePaul,Connecticut,70,75,4.6
Western Kentucky,Middle Tennessee,74,71,2.4
Washington,Utah,70,69,1.0
Georgia Tech,Miami FL,71,73,2.3
Troy,South Alabama,68,69,0.4
UCF,Houston,63,74,11.2
Texas Tech,Mississippi St.,69,60,8.4
New Mexico St.,Grand Canyon,66,64,2.2
Louisville,Duke,66,75,8.7
Cal Baptist,Stephen F. Austin,70,69,0.2
James Madison,Delaware,77,78,0.8
San Francisco,Santa Clara,80,70,10.1
Villanova,St. John's,75,61,14.3
UT Rio Grande Valley,Tarleton St.,71,72,0.2
Florida Gulf Coast,Bellarmine,72,71,1.1
North Carolina,North Carolina St.,81,72,9.3
UC Davis,Long Beach St.,75,73,2.2
Alcorn St.,Southern,72,71,1.3
St. Bonaventure,Saint Joseph's,73,69,3.7
North Carolina Central,Howard,74,75,1.3
Louisiana Monroe,Georgia St.,73,72,0.7
UCLA,Stanford,78,62,15.7
Bowling Green,Kent St.,72,70,1.9
Notre Dame,Virginia,62,57,4.7
Arizona,Arizona St.,84,61,22.6
Loyola Marymount,San Diego,66,63,2.2
Texas A&M,South Carolina,70,61,8.8
Prairie View A&M,Texas Southern,70,73,2.6
Gonzaga,Portland,95,64,31.2
Western Carolina,Samford,76,77,0.9
VMI,East Tennessee St.,78,74,4.7
Marshall,UAB,73,84,10.7
Seattle,Sam Houston St.,70,64,5.8
Old Dominion,Charlotte,68,66,2.1
Brown,Cornell,79,73,5.7
UNC Wilmington,Hofstra,68,74,5.6
North Florida,Lipscomb,76,75,0.7
Southeast Missouri St.,SIU Edwardsville,81,78,2.3
South Carolina St.,Norfolk St.,69,71,2.4
Eastern Michigan,Miami OH,72,73,0.0
Coastal Carolina,Arkansas St.,71,65,5.4
Princeton,Yale,76,71,5.4
UC Riverside,Cal St. Fullerton,67,62,4.6
Butler,Georgetown,72,67,4.8
Liberty,Jacksonville St.,69,63,6.7
SMU,Temple,74,63,10.9
USC,California,69,59,10.0
Presbyterian,UNC Asheville,62,61,0.2
Hawaii,UC Santa Barbara,72,66,5.6
Northern Iowa,Illinois St.,82,73,8.8
Boston College,Pittsburgh,63,60,3.9
UC San Diego,Cal St. Bakersfield,64,63,1.3
South Dakota St.,North Dakota St.,85,71,13.2
Murray St.,Morehead St.,72,61,11.7
Duquesne,Saint Louis,65,73,7.3
Binghamton,UMBC,69,70,1.5
Towson,Drexel,74,64,9.5
Montana,Eastern Washington,73,67,5.4
Tulsa,South Florida,64,60,4.3
North Carolina A&T,USC Upstate,76,72,3.7
Oregon,Oregon St.,80,66,14.3
Vanderbilt,Georgia,74,65,9.4
NJIT,Albany,60,61,0.2
Iowa St.,Missouri,71,56,15.4
The Citadel,Chattanooga,67,76,8.8
Longwood,Winthrop,77,68,8.5
Sacramento St.,Weber St.,68,73,4.8
Louisiana Lafayette,Georgia Southern,71,63,7.4
Western Illinois,St. Thomas,80,76,4.2
William & Mary,Elon,68,70,2.6
Denver,Oral Roberts,71,78,7.3
Texas St.,UT Arlington,67,61,5.9
Wofford,UNC Greensboro,64,57,6.7
Stetson,Eastern Kentucky,66,70,3.6
Chicago St.,Dixie St.,72,73,1.2
Southern Miss,Rice,68,73,5.1
Pacific,BYU,60,74,13.5
Northwestern St.,Texas A&M Corpus Chris,72,78,5.4
College of Charleston,Northeastern,79,68,10.5
Charleston Southern,Hampton,65,64,0.7
Alabama A&M,Florida A&M,59,60,1.1
Saint Mary's,Pepperdine,75,56,18.6
Belmont,Tennessee Martin,85,65,19.7
Campbell,High Point,64,58,5.2
Davidson,La Salle,79,62,16.4
UTEP,FIU,66,59,7.1
Kennesaw St.,North Alabama,72,63,8.5
Nebraska Omaha,UMKC,69,74,4.5
UTSA,Florida Atlantic,64,72,7.8
Oakland,Illinois Chicago,80,66,14.5
Tennessee Tech,Austin Peay,74,66,7.5
Northern Arizona,Portland St.,69,65,4.0
Houston Baptist,Nicholls St.,68,76,7.7
Gardner Webb,Radford,69,58,10.6
Alabama St.,Bethune Cookman,68,62,6.1
Lamar,Abilene Christian,62,72,10.1
Army,Lafayette,73,66,7.4
Missouri St.,Evansville,73,55,18.7
Mississippi Valley St.,Arkansas Pine Bluff,78,76,1.7
Mount St. Mary's,St. Francis PA,68,61,7.3
Jacksonville,Central Arkansas,73,64,9.3
Youngstown St.,Milwaukee,72,64,8.3
UC Irvine,Cal Poly,63,53,9.7
Jackson St.,Grambling St.,66,59,6.8
Appalachian St.,Little Rock,72,60,12.5
Robert Morris,Green Bay,71,64,6.6
Montana St.,Idaho,83,67,15.9
Columbia,Dartmouth,64,71,6.6
Coppin St.,Maryland Eastern Shore,74,65,9.1
Ball St.,Western Michigan,80,68,11.8
Northern Illinois,Central Michigan,74,66,7.8
Eastern Illinois,Tennessee St.,59,65,6.0
Navy,American,72,56,16.0
South Dakota,North Dakota,81,68,13.0
Vermont,Maine,79,54,25.4
Southeastern Louisiana,Incarnate Word,83,66,16.5
