Home,Away,Hasla_Home_Points,Hasla_Away_Points,Hasla_Home_Rank,Hasla_Away_Rank
Colorado State,UNLV,78.54,64.2,25.0,126.0
Boise State,Fresno State,57.62,57.46,35.0,74.0
Wyoming,Air Force,65.94,58.77,54.0,208.0
Toledo,Akron,75.21,62.03,56.0,183.0
Dayton,URI,65.98,57.17,64.0,118.0
Ohio,Buffalo,74.16,73.48,83.0,122.0
Monmouth,Canisius,76.89,60.71,110.0,297.0
Colgate,Boston U,68.11,67.74,123.0,190.0
New Mexico,San Jose State,80.07,66.6,143.0,298.0
Marist,Quinnipiac,68.53,66.3,163.0,259.0
Wright State,Cleveland State,76.17,74.64,222.0,178.0
N. Kentucky,Fort Wayne,66.14,66.09,251.0,186.0
St. Peter's,Manhattan,72.08,63.2,194.0,281.0
Niagara,Siena,62.51,60.44,195.0,287.0
Fairfield,Rider,67.92,66.21,201.0,286.0
Harvard,Penn,73.23,70.07,215.0,207.0
UNH,Stony Brook,71.38,70.42,267.0,228.0
Lehigh,Holy Cross,71.86,65.91,302.0,353.0
