event id,participant full name,Away Team,Home Team,Home Spread Bet354,total bet365,datetime,Home Spread Bovada,total bovada
4584008,Louisville Cardinals,North Carolina Tar Heels,Louisville Cardinals,3.5,145.5,2022-01-31T13:42:24-07:00,3.5,145.5
4584028,Georgetown Hoyas,Seton Hall Pirates,Georgetown Hoyas,7.0,152.5,2022-01-31T13:29:34-07:00,7.0,152.5
4584031,Central Michigan Chippewas,Bowling Green Falcons,Central Michigan Chippewas,7.0,159.0,2022-01-31T13:27:27-07:00,7.0,159.0
4584034,St. John's Red Storm,Providence Friars,St. John's Red Storm,-2.0,145.0,2022-01-31T13:29:34-07:00,-2.0,145.0
4584038,Ohio Bobcats,Ball State Cardinals,Ohio Bobcats,-12.0,145.5,2022-01-31T13:27:27-07:00,-12.0,145.5
4584040,Miami (OH) RedHawks,Kent State Golden Flashes,Miami (OH) RedHawks,-2.0,137.5,2022-01-31T13:29:34-07:00,-2.0,137.5
4584046,Texas Tech Red Raiders,Texas Longhorns,Texas Tech Red Raiders,-4.5,120.0,2022-01-31T13:29:34-07:00,-4.5,120.0
4584048,Maryland Terrapins,Michigan State Spartans,Maryland Terrapins,4.0,138.5,2022-01-31T13:42:24-07:00,4.0,138.5
4584052,St. Bonaventure Bonnies,Davidson Wildcats,St. Bonaventure Bonnies,-3.0,140.0,2022-01-31T13:27:27-07:00,-3.0,140.0
4584053,Michigan Wolverines,Nebraska Cornhuskers,Michigan Wolverines,-14.5,144.5,2022-01-31T13:43:29-07:00,-14.5,144.5
4584057,Western Michigan Broncos,Northern Illinois Huskies,Western Michigan Broncos,-2.5,136.0,2022-01-31T13:26:21-07:00,-2.5,136.0
4584059,Iowa State Cyclones,Kansas Jayhawks,Iowa State Cyclones,3.5,138.5,2022-01-31T14:36:15-07:00,3.5,138.5
4584062,Northwestern Wildcats,Rutgers Scarlet Knights,Northwestern Wildcats,-5.5,131.0,2022-01-31T13:42:24-07:00,-5.5,131.0
4584070,Mississippi State Bulldogs,South Carolina Gamecocks,Mississippi State Bulldogs,-8.0,138.0,2022-01-31T14:36:15-07:00,-8.0,138.0
4584072,Tennessee Volunteers,Texas A&M Aggies,Tennessee Volunteers,-12.0,131.5,2022-01-31T14:45:43-07:00,-12.0,131.5
4584075,Eastern Michigan Eagles,Toledo Rockets,Eastern Michigan Eagles,10.5,147.0,2022-01-31T13:29:34-07:00,10.5,147.0
4584077,Duquesne Dukes,Richmond Spiders,Duquesne Dukes,6.5,138.5,2022-01-31T13:29:34-07:00,6.5,138.5
4584080,Utah State Aggies,Air Force Falcons,Utah State Aggies,-14.5,125.5,2022-01-31T13:30:40-07:00,-14.5,125.5
4584088,Auburn Tigers,Alabama Crimson Tide,Auburn Tigers,-7.0,155.5,2022-01-31T13:43:29-07:00,-7.0,155.5
4584094,San Jose State Spartans,Fresno State Bulldogs,San Jose State Spartans,11.0,125.0,2022-01-31T13:30:40-07:00,11.0,125.0
4584097,UC Riverside Highlanders,UC Davis Aggies,UC Riverside Highlanders,-6.0,129.0,2022-01-31T13:30:40-07:00,-6.0,129.0
4611264,Wichita State Shockers,Tulsa Golden Hurricane,Wichita State Shockers,-7.5,136.0,2022-01-31T13:30:40-07:00,-7.5,136.0
4633891,Siena Saints,Canisius Golden Griffins,Siena Saints,-4.5,135.0,2022-01-31T13:29:34-07:00,-4.5,135.0
4641787,Stanford Cardinal,California Golden Bears,Stanford Cardinal,-5.5,130.0,2022-01-31T13:30:40-07:00,-5.5,130.0
