event id,participant full name,Away Team,Home Team,Home Spread Bet354,total bet365,datetime,Home Spread Bovada,total bovada
4582562,Northern Kentucky Norse,Purdue Fort Wayne Mastodons,Northern Kentucky Norse,-3.0,138.5,2022-01-28T09:08:29-07:00,-3.0,138.5
4582571,Air Force Falcons,Wyoming Cowboys,Air Force Falcons,7.5,126.0,2022-01-28T15:21:03-07:00,7.5,126.0
4582577,Wright State Raiders,Cleveland State Vikings,Wright State Raiders,-2.0,148.0,2022-01-28T05:30:06-07:00,-2.0,148.0
4582586,Dayton Flyers,Rhode Island Rams,Dayton Flyers,-6.0,125.0,2022-01-28T16:52:59-07:00,-6.0,125.0
4582590,Siena Saints,Niagara Purple Eagles,Siena Saints,-3.0,126.5,2022-01-28T16:49:46-07:00,-3.0,126.5
4582611,Rider Broncs,Fairfield Stags,Rider Broncs,2.0,134.5,2022-01-28T09:01:09-07:00,2.0,134.5
4582616,Monmouth Hawks,Canisius Golden Griffins,Monmouth Hawks,-11.5,141.5,2022-01-28T13:20:10-07:00,-11.5,141.5
4582625,Quinnipiac Bobcats,Marist Red Foxes,Quinnipiac Bobcats,1.0,140.0,2022-01-28T17:30:16-07:00,1.0,140.0
4582638,Fresno State Bulldogs,Boise State Broncos,Fresno State Bulldogs,2.0,119.0,2022-01-28T17:29:06-07:00,2.0,119.0
4582803,New Hampshire Wildcats,Stony Brook Seawolves,New Hampshire Wildcats,-1.0,135.5,2022-01-28T14:23:38-07:00,-1.0,135.5
4582865,New Mexico Lobos,San Jose State Spartans,New Mexico Lobos,-10.0,146.0,2022-01-28T17:29:06-07:00,-10.0,146.0
4582987,Boston University Terriers,Colgate Raiders,Boston University Terriers,3.0,138.0,2022-01-28T10:50:06-07:00,3.0,138.0
4583038,Toledo Rockets,Akron Zips,Toledo Rockets,-7.5,140.0,2022-01-28T14:28:58-07:00,-7.5,140.0
4583094,Harvard Crimson,Pennsylvania Quakers,Harvard Crimson,-3.0,140.5,2022-01-28T14:51:29-07:00,-3.0,140.5
4583250,Buffalo Bulls,Ohio Bobcats,Buffalo Bulls,-3.0,151.0,2022-01-28T16:49:46-07:00,-3.0,151.0
