Home,Away,Torv_Home_Points,Torv_Away_Points,Torv_Line
Iowa St.,Kansas,70,69,1.0
St. John's,Providence,73,74,0.4
Auburn,Alabama,84,74,10.2
Texas Tech,Texas,59,55,3.4
Maryland,Michigan St.,69,72,3.2
Louisville,North Carolina,71,75,4.0
St. Bonaventure,Davidson,71,72,1.3
Connecticut,Creighton,70,63,6.7
Georgetown,Seton Hall,76,81,4.9
Tennessee,Texas A&M,70,61,9.2
LSU,Mississippi,66,56,10.7
Stanford,California,66,62,3.3
UNLV,Nevada,78,71,7.0
Northwestern,Rutgers,69,62,6.8
Mississippi St.,South Carolina,72,63,8.8
Miami OH,Kent St.,68,67,0.8
Michigan,Nebraska,81,66,14.8
Eastern Michigan,Toledo,68,77,9.0
Duquesne,Richmond,67,71,4.9
Wichita St.,Tulsa,72,63,9.6
UC Riverside,UC Davis,67,59,8.0
Western Michigan,Northern Illinois,68,66,2.0
Virginia,Boston College,62,55,6.9
Central Michigan,Bowling Green,80,86,6.1
Ohio,Ball St.,79,65,13.7
Utah St.,Air Force,68,54,13.9
Siena,Canisius,68,62,5.6
San Jose St.,Fresno St.,55,67,11.6
