event id,participant full name,Away Team,Home Team,Home Spread Bet354,total bet365,datetime,Home Spread Bovada,total bovada
4582659,Southern Illinois Salukis,Valparaiso Beacons,Southern Illinois Salukis,-6.5,123.5,2022-01-30T10:27:01-07:00,-6.5,123.5
4582796,St. Francis (BKN) Terriers,Wagner Seahawks,St. Francis (BKN) Terriers,11.5,139.0,2022-01-30T11:53:07-07:00,11.5,139.0
4582843,Brown Bears,Cornell Big Red,Brown Bears,-5.0,150.0,2022-01-30T08:52:44-07:00,-5.0,150.0
4583148,Bryant University Bulldogs,LIU Sharks,Bryant University Bulldogs,-5.0,155.5,2022-01-30T08:35:46-07:00,-5.0,155.5
4583280,McNeese State Cowboys,New Orleans Privateers,McNeese State Cowboys,1.0,149.5,2022-01-30T11:11:34-07:00,1.0,149.5
4583958,Northern Kentucky Norse,Cleveland State Vikings,Northern Kentucky Norse,2.5,132.5,2022-01-30T09:52:56-07:00,2.5,132.5
4583974,Purdue Boilermakers,Ohio State Buckeyes,Purdue Boilermakers,-9.0,145.5,2022-01-30T09:46:19-07:00,-9.0,145.5
4583986,Manhattan Jaspers,Marist Red Foxes,Manhattan Jaspers,1.5,138.0,2022-01-29T14:57:27-07:00,1.5,138.0
4583989,Rider Broncs,Canisius Golden Griffins,Rider Broncs,-1.5,141.5,2022-01-29T14:57:27-07:00,-1.5,141.5
4586453,Washington State Cougars,Colorado Buffaloes,Washington State Cougars,-6.0,132.0,2022-01-30T11:10:28-07:00,-6.0,132.0
4611539,Providence Friars,Marquette Golden Eagles,Providence Friars,-2.5,136.0,2022-01-30T07:34:42-07:00,-2.5,136.0
4641909,East Carolina Pirates,Cincinnati Bearcats,East Carolina Pirates,6.0,139.0,2022-01-30T09:36:47-07:00,6.0,139.0
